cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      21     alloca          64     0    50       14    
1      22     alloca          64     0    50       14    
2      23     alloca          64     0    53       11    
3      24     alloca          64     0    50       14    
4      25     alloca          64     0    51       13    
5      26     alloca          64     0    49       15    
6      27     alloca          64     0    52       12    
7      28     alloca          64     3    48       13    
8      29     alloca          64     0    0        64    
9      30     alloca          64     0    0        64    
10     34     load            32     0    32       0     
11     35     icmp            1      0    1        0     
12     41     load            32     1    0        31    
13     42     icmp            1      1    0        0     
14     44     load            32     4    28       0     
15     45     sub             32     7    25       0     
16     46     sext            64     7    54       3     
17     47     load            64     4    60       0     
18     48     getelementptr   64     5    59       0     
19     49     load            64     15   49       0     
20     50     call            32     14   18       0     
21     52     icmp            1      0    1        0     
22     57     load            32     1    0        31    
23     58     icmp            1      1    0        0     
24     60     load            32     2    30       0     
25     170    alloca          64     4    50       10    
26     171    alloca          64     6    51       7     
27     172    alloca          64     0    49       15    
28     173    alloca          64     1    51       12    
29     176    load            32     32   0        0     
30     177    add             32     32   0        0     
31     180    call            64     1    63       0     
32     181    bitcast         64     1    63       0     
33     183    load            64     0    0        64    
34     184    icmp            1      0    1        0     
35     188    load            32     32   0        0     
36     189    load            64     0    51       13    
37     190    getelementptr   64     0    50       14    
38     192    load            32     32   0        0     
39     193    load            64     16   48       0     
40     194    getelementptr   64     14   50       0     
41     196    load            64     0    50       14    
42     197    getelementptr   64     1    49       14    
43     199    load            32     0    30       2     
44     200    load            64     13   51       0     
45     0      alloca          64     0    52       12    
46     1      alloca          64     0    49       15    
47     2      alloca          64     3    51       10    
48     3      alloca          64     0    50       14    
49     6      load            32     0    30       2     
50     7      load            64     14   50       0     
51     433    alloca          64     0    49       15    
52     434    alloca          64     1    50       13    
53     435    alloca          64     4    51       9     
54     436    alloca          64     4    51       9     
55     439    load            32     0    29       3     
56     440    icmp            1      0    1        0     
57     442    load            32     0    1        31    
58     443    icmp            1      0    1        0     
59     447    load            32     8    24       0     
60     448    sext            64     8    52       4     
61     449    getelementptr   64     8    56       0     
62     450    getelementptr   64     8    56       0     
63     453    load            64     0    53       11    
64     454    load            64     0    64       0     
65     455    icmp            1      0    1        0     
66     463    load            64     11   53       0     
67     464    load            64     8    56       0     
68     466    load            32     8    24       0     
69     467    sext            64     8    52       4     
70     468    getelementptr   64     10   52       2     
71     469    getelementptr   64     10   52       2     
72     470    load            32     1    0        31    
73     471    add             32     2    0        30    
74     475    load            32     24   8        0     
75     8      call            32     24   8        0     
76     10     icmp            1      0    0        1     
77     15     load            32     0    0        32    
78     370    alloca          64     0    51       13    
79     372    load            64     0    64       0     
80     373    icmp            1      0    1        0     
81     348    alloca          64     0    50       14    
82     349    load            64     0    0        64    
83     350    icmp            1      0    0        1     
84     354    load            32     0    0        32    
85     355    icmp            1      0    0        1     
86     357    load            32     0    0        32    
87     477    alloca          64     0    50       14    
88     478    alloca          64     0    48       16    
89     479    alloca          64     0    49       15    
90     480    alloca          64     0    49       15    
91     481    alloca          64     1    52       11    
92     482    alloca          64     0    48       16    
93     483    alloca          64     0    49       15    
94     485    fptrunc         32     0    0        32    
95     488    load            32     0    0        32    
96     489    icmp            1      0    0        1     
97     491    load            32     0    0        32    
98     492    icmp            1      0    0        1     
99     496    load            32     0    0        32    
100    497    fpext           64     0    0        64    
101    498    fcmp            1      0    0        1     
102    500    load            32     0    0        32    
103    501    fpext           64     0    0        64    
104    502    fcmp            1      0    0        1     
105    506    load            32     0    24       8     
106    507    sext            64     0    52       12    
107    508    getelementptr   64     0    52       12    
108    509    getelementptr   64     0    52       12    
109    510    load            32     0    0        32    
110    512    load            32     0    0        32    
111    513    load            32     0    0        32    
112    514    sitofp          32     0    0        32    
113    515    fmul            32     0    0        32    
114    516    fptosi          32     0    0        32    
115    518    load            32     0    0        32    
